Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
MING,18.01 H41,MN18.01H41,Diver,ETA 2824-2,ETA 2824-2,Automatic,3250,2500,2023,40,22,12.9,1000,Sapphire,,Titanium,Rubber,,38,Time Only,Male,Malaysia (Swiss Movement)
Kurono Tokyo,Chronograph 3,KR-CH3,Chronograph,NE88A,,Automatic,3750,3050,2023,38,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,Japan
Naoya Hida,Type 3B,NH-T3B,Dress,Cal.3019SS,ETA Peseux 7001 base,Manual,23500,19000,2023,37,20,10.8,30,Sapphire,,Stainless Steel,Leather,,48,Small Seconds,Male,Japan
Ochs und Junior,Annual Calendar OAC-AG-WH,OUJ-AC-AG-WH,Dress,UJAC01,ETA 2824-2 base,Automatic,8500,7000,2023,39,20,10.8,100,Sapphire,,Silver,Leather,,38,Annual Calendar,Male,Switzerland
S.U.F Helsinki,180 Field Watch,SUF180-01,Field,Sellita SW200-1,SW200-1,Automatic,2800,2300,2023,38.7,20,10.5,100,Sapphire,,Stainless Steel,Leather,,38,Time Only,Male,Finland
Horage,Supersede GMT,HOR-GMT01,GMT,K2 Micro-Rotor,In-house,Automatic,5900,4600,2023,39.5,20,9.8,100,Sapphire,,Titanium,Bracelet,,72,GMT,Male,Switzerland
Serica,8315 GMT Chronomètre,8315-1,GMT,CALIBRE C125,LJP G100 base,Automatic,1950,1650,2023,39,20,12.3,200,Sapphire,,Stainless Steel,Bracelet,,48,GMT,Male,France (Assembled)
Habring²,Jumping Second Pilot,HB-JSP01,Pilot,A11s,In-house,Manual,6500,5250,2023,38.5,20,11.5,100,Sapphire,,Stainless Steel,Leather,,48,Deadbeat Seconds,Male,Austria
Bamford,GMT Mirage Orange,BAM-GMT-MO01,GMT,Sellita SW330-2,SW330-2,Automatic,1600,1350,2023,40,20,11.2,100,Sapphire,,Stainless Steel,Bracelet,,56,GMT,Male,UK (Assembled)
Lebois & Co,Heritage Chronograph,LC-HC-01,Chronograph,NE86A,,Automatic,2600,2000,2023,39,20,13.4,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,Switzerland
Studio Underd0g,Strawberries & Cream,V1-SNC,Chronograph,Seagull ST1901,Venus 175,Manual,650,500,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Baltic,Bicompax 002,BC02-SS-01,Chronograph,Seagull ST1901,Venus 175,Manual,600,470,2023,38,20,13,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Male,France (Assembled)
Fears,Brunswick Salmon,FEA-BRS-Dress,N/A,ETA 7001,ETA 7001,Manual,3750,2900,2023,38,20,9.7,50,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,UK
William Wood,Valiant Collection,WW-VALIANT-01,Diver,Sellita SW200,SW200-1,Automatic,995,850,2023,41,20,13,100,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,UK
Vero,Open Water,VRO-OPW-BLU,Diver,Sellita SW200-1,SW200-1,Automatic,875,700,2023,40,20,12.2,200,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,USA
Raven,Solitude 40mm,RVN-SOL40,Diver,Miyota 9015,,Automatic,620,495,2023,40,20,13,300,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,USA
Oak & Oscar,Humboldt GMT 2,OAO-HG2,GMT,ETA 2893-2,ETA 2893-2,Automatic,1950,1500,2023,39.5,20,12.7,200,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,USA
Boldr,Odyssey Freediver,BOL-ODY-FRD,Diver,Miyota 9015,,Automatic,799,630,2023,40,20,13.5,300,Sapphire,,Stainless Steel,Rubber,,42,Date,Male,Singapore
Nodus,Contrail GMT,NOD-C-GMT01,GMT,Seiko NH34,,Automatic,625,500,2023,39,20,12,150,Sapphire,,Stainless Steel,Bracelet,,41,GMT,Male,USA
Zelos,Horizons GMT,ZLS-HRZGMT-DLC,GMT,Seiko NH34,,Automatic,550,430,2023,40,20,12.5,200,Sapphire,,Stainless Steel,Bracelet,,41,GMT,Male,Singapore
Traska,Commuter 36,TR-COM36-BLU,Dress,Miyota 9039,,Automatic,600,480,2023,36.5,20,9.5,100,Sapphire,,Stainless Steel,Bracelet,,42,Time Only,Unisex,USA
Maen,Manhattan 37,MAE-MN37-Dress,N/A,ETA 2892-2,ETA 2892-2,Automatic,925,725,2023,37,20,10,50,Sapphire,,Stainless Steel,Bracelet,,42,Time Only,Male,Netherlands
Unimatic,Modello Due U2S-MN,U2S-MN,Field,Seiko NH35,,Automatic,575,460,2023,38.5,22,12.4,300,Sapphire,,Stainless Steel,Rubber,,41,None,Male,Italy
Autodromo,Group B Series 2 Safari,ADB-GRPB-SAF,Dress,Miyota 9015,,Automatic,975,765,2023,39,20,10,50,Sapphire,,Stainless Steel/Titanium,Bracelet,,42,Time Only,Male,USA (Assembled)
Weiss,Standard Issue Field Watch,WEI-FLD42-01,Field,Cal 1003,ETA 6497,Manual,1250,950,2023,42,20,12.7,100,Sapphire,,Stainless Steel,Canvas,,46,Time Only,Male,USA (Made in USA)
Vaer,D5 Atlantic Diver USA,D5-ATL-DVR,Diver,Miyota 9039,,Automatic,599,480,2023,39,20,12.2,200,Sapphire,,Stainless Steel,Rubber,,42,None,Male,USA
Marloe,Coniston Automatic - White,MRL-CON-WHT,Field,Miyota 9039,,Automatic,475,370,2023,41,20,11,100,Sapphire,,Stainless Steel,Leather,,42,None,Male,UK
Studio Underd0g,Chronograph - Mint Choc Chip,SUD-MCC01,Chronograph,Seagull ST1901,Venus 175,Manual,675,525,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Furlan Marri,Sector White,FM-SCT-WHT,Dress,Seiko VK64,N/A,Quartz,565,450,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Kurono Tokyo,Chronograph 2,KT-CH2,Chronograph,NE86A,,Automatic,3680,2890,2023,38,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,Japan
Farer,Chronograph Sport Bernina,FAR-CH-BRN,Chronograph,Sellita SW510M BH,SW510M,Manual,2150,1725,2023,41,20,13.3,100,Sapphire,,Stainless Steel,Bracelet,,58,Chronograph,Male,UK
Baltic,Aquascaphe GMT,AQ-GMT-BLACK,GMT,Soprod C125,,Automatic,1190,975,2023,39,20,13.5,100,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,France (Assembled)
Unimatic,U1S-MP,N/A,Diver,Seiko NH35,N/A,Automatic,765,590,2023,40,22,13.6,300,Sapphire,N/A,Stainless Steel,Rubber,N/A,41,None,Male,Italy
Helm,Komodo,KMD-01,Diver,Seiko NH35,,Automatic,375,295,2023,39,20,13,300,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,USA (Assembled)
RZE,Resolute SuperCompressor,RZE-RSC01,Diver,Seiko NH38,,Automatic,499,395,2023,40,20,12,200,Sapphire,,Titanium,Rubber,,41,None,Male,Singapore
Draken,Peregrine,DRA-PER-01,Pilot,Seiko NH35,,Automatic,475,360,2023,42,22,13.5,100,Sapphire,,Stainless Steel,NATO,,41,None,Male,New Zealand
Boldr,Field Medic II,BLD-FM2,Chronograph,Seiko VK64,N/A,Quartz,299,225,2023,38.5,20,13.2,100,Sapphire,N/A,Stainless Steel,NATO,N/A,N/A,Pulsometer,Male,Singapore
Isotope,"Hydrium X ""Will Return""",ISO-HYR-WR,Diver,Landeron 24,,Automatic,950,735,2023,40,22,14.9,300,Sapphire,,Stainless Steel,Rubber,,40,Date,Male,UK (Assembled)
Zelos,Hammerhead 3,ZLS-HH3,Diver,Seiko NH35,,Automatic,499,385,2023,44,22,17,1000,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,Singapore
Formex,Field Automatic 41mm,FOR-FLD41,Dress,STP1-11,STP1-11,Automatic,795,615,2023,41,20,10.6,150,Sapphire,,Titanium,Nylon,,42,Date,Male,Switzerland
Nodus,Avalon II,NOD-AV2,Diver,Miyota 9015,,Automatic,675,520,2023,43.5,22,12.5,300,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,USA
Yema,Navygraf Marine Nationale,YEM-NGMN,Diver,Miyota 8315,,Automatic,849,650,2023,39,19,11.5,300,Sapphire,,Stainless Steel,Bracelet,,60,Time Only,Male,France
LIP,Marinier 39mm,LIP-MAR39,Diver,Miyota 8215,,Automatic,420,335,2023,39,20,13,200,Sapphire,,Stainless Steel,Rubber,,42,Date,Male,France
Tissell,Submersible 40mm,TIS-SUB40,Diver,Miyota 9015,,Automatic,375,290,2023,40,20,13,200,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,South Korea
Steinhart,Ocean 39 GMT Premium,STE-OC39GMT,Diver,ETA 2893-2,ETA 2893-2,Automatic,595,475,2023,39,20,12,300,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,Germany
G. Gerlach,Enigma,GGL-ENIGMA,Diver,Seiko NH35,,Automatic,475,360,2023,43,22,14.5,200,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,Poland
Zlatoust,Amphibia ZLA-191CHS,ZLA-191CHS,Diver,Mechanical Russian,In-house,Manual,850,675,2023,55,24,15,1000,Acrylic,,Stainless Steel,Leather,,48,Time Only,Male,Russia
Vostok Europe,Almaz VEAMNH57/571A659,N/A,Diver,Seiko NH35,N/A,Automatic,499,395,2023,47,22,15.4,200,K1 Mineral,N/A,Stainless Steel,Leather,N/A,41,Date,Male,Lithuania
Baltany,Retro 38mm Pilot Chronograph,BAL-R38CH,Pilot,Seagull ST1901,Venus 175,Manual,225,180,2023,38,20,13,50,Acrylic,,Stainless Steel,Leather,,45,Chronograph,Male,China
Seestern,Ocean 44mm Diver,SEE-O44D,Diver,Seiko NH35,,Automatic,190,145,2023,44,22,14.5,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Addiesdive,BB58 Homage,ADD-BB58H,Diver,Seiko NH35,,Automatic,185,140,2023,39,20,13,200,Sapphire,,Stainless Steel,Bracelet,,41,None,Male,China
San Martin,SN004-G V2,SN004-GV2,Diver,Seiko NH35,,Automatic,285,215,2023,41.5,20,13.5,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Pagani Design,PD-1753,PD-1753,Chronograph,Seiko VK63,N/A,Quartz,110,85,2023,40,20,13,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,China
Bliger,BB58 Homage,BLG-BB58,Diver,Seiko NH35,,Automatic,140,110,2023,39,20,13,200,Sapphire,,Stainless Steel,Bracelet,,41,None,Male,China
Pagrne Design,PD-1661,PD-1661,Diver,Seiko NH35,,Automatic,130,100,2023,40,20,13,100,Sapphire,,Stainless Steel,Bracelet,Ceramic,41,Date,Male,China
Alpha,Paul Newman Daytona Homage,ALP-PNDAY,Chronograph,Seagull ST1901,Venus 175,Manual,190,145,2023,39,20,13.5,50,Acrylic,,Stainless Steel,Bracelet,,45,Chronograph,Male,China
Corgeut,Explorer Homage 36mm,CRG-EXP36,Dress,Miyota 8215,,Automatic,95,75,2023,36,20,12,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,China
Sugess,Flyback Chronograph,SUG-FLY01,Chronograph,Seagull ST1906,Venus 175,Manual,250,200,2023,40,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Flyback Chronograph,Male,China
Escapement Time,Retro Style Pilot,ESC-RETRO38,Dress,Miyota 8215,,Automatic,105,80,2023,38,20,11.5,50,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,China
Tisell,Marine Diver Ceramic,TIS-MDC40,Diver,Miyota 9015,,Automatic,310,245,2023,40,20,13,200,Sapphire,,Stainless Steel,Bracelet,Ceramic,42,Date,Male,South Korea
Lorier,Hyperion GMT,LOR-HYPGMT,GMT,ETA 2893-2,ETA 2893-2,Automatic,799,625,2023,39,20,11.8,100,Acrylic,,Stainless Steel,Bracelet,,42,GMT,Male,USA
Halios,Fairwind,HLS-FWND-DIVER,Diver,Sellita SW200-1,SW200-1,Automatic,775,610,2023,39,20,12.5,200,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Canada
Autodromo,Prototipo Chronograph,AUT-PTP-CH1,Chronograph,Seiko VK63,N/A,Quartz,595,465,2023,42,20,12.2,50,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,USA
Vaer,R1 USA Racing Chronograph,VA-R1CH-USA,Chronograph,Seiko VK63,N/A,Quartz,489,385,2023,42,20,13,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,USA
Nodus,Unity,NOD-UNT-DRESS,Dress,Miyota 9015,,Automatic,500,395,2023,38,20,10.5,100,Sapphire,,Stainless Steel,Bracelet,,42,Time Only,Unisex,USA
Furlan Marri,Chronograph 2023 Ed.,FM-CH23,Dress,Seiko VK64,N/A,Quartz,650,495,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Studio Underd0g,Tuxedo Dial Chronograph,SUD-TUX01,Chronograph,Seagull ST1901,Venus 175,Manual,695,550,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Traska,Summiteer 36,TR-SMT36-FLD,Field,Miyota 9039,,Automatic,600,475,2023,36.5,20,10,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Unisex,USA
Maen,Greenwich GMT,MAE-GMT-42,GMT,ETA 2893-2,ETA 2893-2,Automatic,999,795,2023,42,20,12,100,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,Netherlands
Unimatic,U1-FDN,N/A,Diver,Seiko NH35,N/A,Automatic,675,540,2023,41.5,22,13.6,300,Sapphire,N/A,Stainless Steel,Rubber,N/A,41,None,Male,Italy
Serica,5303-1,N/A,Diver,ETA 2824-2,ETA 2824-2,Automatic,1390,1100,2023,39,20,12.2,300,Sapphire,,Stainless Steel,Bracelet,,38,Time Only,Male,France (Assembled)
RZE,Valour 38mm,RZE-VLR38-CH1,Chronograph,Seiko VK64,N/A,Quartz,399,320,2023,38,20,13,100,Sapphire,N/A,Titanium,Leather,N/A,N/A,Chronograph,Male,Singapore
Zelos,Spearfish Titanium,ZLS-SPF-TI,Diver,La Joux-Perret G100,LJP G100,Automatic,899,720,2023,40,20,12.5,200,Sapphire,,Titanium,Bracelet,,68,Date,Male,Singapore
Boldr,Odyssey Bronze,BOL-ODY-BZ01,Diver,Seiko NH35,,Automatic,799,650,2023,45.5,22,16,500,Sapphire,,Bronze,Rubber,,41,Date,Male,Singapore
Zelos,Mako GMT V3,ZLS-MK3-GMT,GMT,Seiko NH34,,Automatic,599,470,2023,40,20,13,300,Sapphire,,Stainless Steel,Bracelet,,41,GMT,Male,Singapore
Raven,Trekker 39,RVN-TRK39,Diver,Miyota 9015,,Automatic,620,490,2023,39,20,13,300,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,USA
Lorier,Neptune Series IV,LOR-NEP-IV,Diver,Miyota 90S5,,Automatic,499,395,2023,39,20,12.2,200,Acrylic,,Stainless Steel,Bracelet,,42,None,Male,USA
Nodus,Seiko Mod Style,NOD-SMK-DVR,Diver,Seiko NH35,,Automatic,475,375,2023,38,20,13,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,USA
Traska,Venturer GMT,TR-VTGMT-01,GMT,Miyota 9075,,Automatic,695,540,2023,38.5,20,10.5,150,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,USA
Maen,Hudson 38 GMT,MAE-H38GMT-23,GMT,Sellita SW330-2,SW330-2,Automatic,1099,850,2023,38,20,12,300,Sapphire,,Stainless Steel,Bracelet,,56,GMT,Male,Netherlands
Furlan Marri,Black Sector Ref. 2116-A,FM-BS2116,Dress,Seiko VK64,N/A,Quartz,495,390,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Studio Underd0g,Field Chronograph,SUD-FLDCH-01,Chronograph,Seagull ST1901,Venus 175,Manual,650,520,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Oak & Oscar,Jackson Big Eye,OAO-JBE-01,Chronograph,Valjoux 7750,ETA 7750,Automatic,2850,2200,2023,40,20,14.2,100,Sapphire,,Stainless Steel,Leather,,48,Chronograph,Male,USA
Yema,Superman 500 GMT,YEM-SUP-GMT,Diver,YEMA3000,In-house,Automatic,1490,1190,2023,39,19,13.6,500,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,France
Serica,4512 California,SR-4512CAL,Field,ETA 2801-2,ETA 2801-2,Manual,975,775,2023,37.7,20,11.3,200,Hesalite,,Stainless Steel,NATO,,42,Time Only,Male,France (Assembled)
Halios,Universa Blue,HLS-UNV-BLU,Field,Sellita SW210-1,SW210-1,Manual,775,610,2023,38,20,11,100,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,Canada
Farer,Aqua Compressor Endeavour,FAR-ACE-END,Diver,Sellita SW200-1,SW200-1,Automatic,1295,1025,2023,41,20,12.5,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,UK
Monta,Ocean King Gen 2,MON-OKG2,Diver,Monta M-22,SW300-1 base,Automatic,2150,1750,2023,40,20,11.8,300,Sapphire,,Stainless Steel,Bracelet,,65,Date,Male,USA (Assembled)
Unimatic,U1S-PD4,N/A,Diver,Seiko NH35,N/A,Automatic,725,580,2023,40,22,13.6,300,Sapphire,N/A,Stainless Steel,Rubber,N/A,41,None,Male,Italy
Zelos,Blacktip Ti 300m,ZLS-BT-TI,Diver,Seiko NH35,,Automatic,499,395,2023,40,20,13,300,Sapphire,,Titanium,Rubber,,41,Date,Male,Singapore
Christopher Ward,C65 Sandhurst Series 2,C65-SNDH2,Dress,SW200-1,SW200-1,Automatic,995,795,2023,38,20,11.5,150,Sapphire,,Stainless Steel,Leather,,38,Time Only,Male,UK
CW&T,Every Moment Watch (Steel),CWEMW-ST,Dress,Seiko VH31,N/A,Quartz,198,155,2023,36,18,10.5,30,Hardlex,N/A,Stainless Steel,Nylon,N/A,N/A,Time Only,Unisex,USA (Assembled)
Autark,Field Watch Classic,ATK-FLD-CLS,Field,ETA 2824-2,ETA 2824-2,Automatic,925,740,2023,39,20,12.3,200,Sapphire,,Stainless Steel,Leather,,38,Date,Male,Germany
Echo/Neutra,Averau 39 Moon Phase,ECH-AV39-MP,Dress,ETA 2892-2,ETA 2892-2,Automatic,1200,960,2023,39,20,11.8,100,Sapphire,,Stainless Steel,Leather,,42,Moonphase,Male,
Laco,Heimat GMT,LACO-HGMT-42,GMT,Laco 93 (ETA 2893-2),ETA 2893-2,Automatic,1950,1550,2023,42,22,12.5,100,Sapphire,,Stainless Steel,Leather,,42,GMT,Male,Germany
Hemel,HFT20 Panda Chrono,HEM-HFT20PN,Chronograph,Seiko VK64,N/A,Quartz,499,395,2023,42,20,12,100,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,USA (Assembled)
Eza,Vintage 1972 Diver,EZA-V72,Diver,ETA 2824-2,ETA 2824-2,Automatic,995,820,2023,39.6,20,13,200,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,Germany
Nivada Grenchen,Chronoking Aviator Sea Diver,NIV-CKASD-42,Chronograph,Seiko VK63,N/A,Quartz,479,375,2023,39,20,13.5,100,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland
Nezumi Studios,Corbeau NEZ-CPBL,N/A,Chronograph,Seiko VK64,N/A,Quartz,420,335,2023,40,20,11.5,50,Sapphire-coated,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Sweden
Tusenö,Windseeker,TSN-WSK-01,Dress,Miyota 9039,,Automatic,899,715,2023,39,20,11.5,100,Sapphire,,Stainless Steel,Bracelet,,42,Time Only,Male,Sweden
Maen,Greenwich 38 GMT,MAE-GR38-GMT,GMT,SW330-2,SW330-2,Automatic,1150,895,2023,38,20,12,100,Sapphire,,Stainless Steel,Bracelet,,56,GMT,Male,Netherlands
BALTANY,Chronograph Panda,BAL-CHP,Chronograph,Seagull ST1901,Venus 175,Manual,275,210,2023,38.5,20,13.2,50,Acrylic,,Stainless Steel,Leather,,45,Chronograph,Male,China
Seestern,Sub Homage 40mm,SEE-SUB40,Diver,Seiko NH35,,Automatic,145,115,2023,40,20,13.5,200,Sapphire,,Stainless Steel,Bracelet,Ceramic,41,Date,Male,China
San Martin,Vintage Diver SN004G,SN004G,Diver,Seiko NH35,,Automatic,285,225,2023,41.5,20,13.5,200,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,China
Pharos Watches,Sentry V3,PHA-SNT-V3,Dress,Miyota 9015,,Automatic,725,590,2023,40,20,12,100,Sapphire,,Stainless Steel,Leather,,42,None,Male,USA
Vaer,D4 Meridian USA Diver,D4-MRD-DVR,Diver,Miyota 9015,,Automatic,599,480,2023,39,20,12.2,200,Sapphire,,Stainless Steel,Rubber,,42,Date,Male,USA
Marloe Watch Company,Pacific 76,PAC-76-DRESS,Dress,Miyota 9039,,Automatic,525,415,2023,40,20,11.8,100,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,UK
Vero,Workhorse Chrono V2,VRO-WHC-V2,Chronograph,Seiko VK64,N/A,Quartz,425,340,2023,44.5,22,13.5,120,Hardened Mineral,N/A,Polycarbonate,Rubber,N/A,N/A,Chronograph,Male,USA
Autodromo,Group C Automatic,AUT-GRPC-AUTO,Dress,Miyota 9015,,Automatic,975,765,2023,40,20,10.5,50,Sapphire,,Stainless Steel/Composite,Rubber,,42,Time Only,Male,USA
Weiss,Field Watch 38mm,WEI-FLD38,Dress,Weiss Cal. 1005,ETA 7001 base,Manual,1500,1195,2023,38,20,12.5,100,Sapphire,,Stainless Steel,Canvas,,46,Time Only,Male,USA (Made in USA)
Studio Underd0g,Chrono 'Desert Sky',SUD-DSK,Chronograph,Seagull ST1901,Venus 175,Manual,675,540,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Kurono Tokyo,Reiwa Limited Edition,KR-RWA,Dress,Miyota 90S5,,Automatic,1850,1475,2023,37,20,11,50,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,Japan
Furlan Marri,Sector Cream Dial,FM-SCT-CRM,Dress,Seiko VK64,N/A,Quartz,550,430,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Baltic,MR01 Blue,GTL-MR01-BLU,Dress,Hangzhou CAL5000A,,Automatic,650,515,2023,36,20,9.9,30,Hesalite,,Stainless Steel,Leather,,42,Small Seconds,Male,France (Assembled)
Fears,Brunswick Brown,FRA-BRS-BRN,Dress,ETA 7001,ETA 7001,Manual,3750,2950,2023,38,20,9.7,50,Sapphire,,Stainless Steel,Leather,,42,Time Only,Male,UK
William Wood,Valliant Bronze Divers,WW-VALL-BRZ,Diver,Sellita SW200,SW200-1,Automatic,995,820,2023,41,20,13,100,Sapphire,,Bronze,Rubber,,38,Date,Male,UK
Brew,Metric Retro Dial Chrono,BRW-MET-RET,Chronograph,Seiko VK68,N/A,Quartz,395,315,2023,36,20,10.7,50,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Unisex,USA (Assembled)
Autark,Arctic Sport II,ATK-ARC-SP2,Field,ETA 2824-2,ETA 2824-2,Automatic,925,735,2023,39,20,12.3,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Germany
Echo/Neutra,AVERAU Big Moon,ECH-AV-BM01,Dress,ETA 2892-A2,ETA 2892-A2,Automatic,1250,990,2023,42,20,12,100,Sapphire,,Stainless Steel,Leather,,42,Moonphase,Male,
Laco,Pilot Watch Type A,LAC-PW-A42,Pilot,Miyota 821A,,Automatic,480,375,2023,42,20,12.3,50,Sapphire,,Stainless Steel,Leather,,42,None,Male,Germany
Hemel,HF Series Chrono Panda,HEM-HFCP01,Chronograph,Seiko VK64,N/A,Quartz,420,330,2023,42,20,12,100,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,USA (Assembled)
Eza,Sealander Automatic,EZA-SLD-01,Diver,ETA 2824-2,ETA 2824-2,Automatic,950,765,2023,41,20,13,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,Germany
Nivada Grenchen,Chronomaster Automatic,NIV-CHM-AUTO,Chronograph,Sellita SW510,SW510,Automatic,1750,1400,2023,38.3,20,13.5,100,Sapphire,,Stainless Steel,Leather,,58,Chronograph,Male,Switzerland
Nezumi Studios,Voiture Ref. VQ2.201,N/A,Chronograph,Seiko VK64,N/A,Quartz,420,340,2023,40,20,11.5,50,Sapphire-coated,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Sweden
Tusenö,First 42 Automatic,TUS-F42AUTO,Dress,Miyota 9015,,Automatic,895,710,2023,42,20,11.5,100,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Sweden
Baltic,Aquascaphe Dual-Crown,BAL-ADC-DVR,Diver,Miyota 9039,,Automatic,695,560,2023,39,20,11.9,200,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,France (Assembled)
Kurono Tokyo,Chronograph 1,KR-CH1,Chronograph,NE86A,,Automatic,3680,2950,2023,38,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,Japan
Furlan Marri,Chronograph Nero Sabbia,FM-CNS01,Dress,Seiko VK64,N/A,Quartz,565,450,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Studio Underd0g,Chrono Watermel0n,SUD-WM01,Chronograph,Seagull ST1901,Venus 175,Manual,675,540,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled)
Maen,Hudson 42 Automatic,MAE-HUD42,Diver,ETA 2824-2,ETA 2824-2,Automatic,795,630,2023,42,22,12.2,300,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Netherlands
Bamford,GMT London,BAM-GMT-LND,GMT,Sellita SW330-1,SW330-1,Automatic,1450,1150,2023,40,20,11.2,100,Sapphire,,Stainless Steel,Bracelet,,56,GMT,Male,UK (Assembled)
RZE,Fortitude,RZE-FRT-FLD,Field,Seiko NH35,,Automatic,459,360,2023,41,20,11.5,100,Sapphire,,Titanium,Bracelet,,41,Date,Male,Singapore
Helm,Miyako,HELM-MYK-DVR,Diver,Seiko NH35,,Automatic,375,295,2023,40,20,13.2,300,Sapphire,,Stainless Steel,Bracelet,,41,Date,Male,USA (Assembled)
Draken,Kruger Black,DRA-KRGR-BLK,Diver,Seiko NH35,,Automatic,599,470,2023,42,22,13.2,300,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,New Zealand
Boldr,Expedition El Capitan,BLD-EXP-EC,Field,Seiko NH35,,Automatic,599,470,2023,41,20,14.2,200,Sapphire,,Stainless Steel,Canvas,,41,Date,Male,Singapore
Isotope,Hydrium X Blink Edition,ISO-HX-BLK,Diver,Landeron 24,,Automatic,950,740,2023,40,22,14.9,300,Sapphire,,Stainless Steel,Rubber,,40,Date,Male,UK (Assembled)
